n,response_var,version,terms,aic,bic,clade_reldiff_low,clade_reldiff_est,clade_reldiff_high,clade_reldiff_zval,clade_reldiff_pval,phylo_coeff,point_coeff,intrcpt_coeff,intrcpt_se,intrcpt_p,log_mass_coeff,log_mass_se,log_mass_p,log_homerange_coeff,log_homerange_se,log_homerange_p,inv_ess_coeff,inv_ess_se,inv_ess_p,log_roughness_coeff,log_roughness_se,log_roughness_p,treecover_coeff,treecover_se,treecover_p,mean_hfi_coeff,mean_hfi_se,mean_hfi_p,road_cover_coeff,road_cover_se,road_cover_p,seasonality_gpp_coeff,seasonality_gpp_se,seasonality_gpp_p,speed_est_coeff,speed_est_se,speed_est_p,movement_disruptfast_coeff,movement_disruptfast_se,movement_disruptfast_p,movement_pursuit_coeff,movement_pursuit_se,movement_pursuit_p,movement_slow_coeff,movement_slow_se,movement_slow_p,cooperativity_solitary_coeff,cooperativity_solitary_se,cooperativity_solitary_p
1239,log_ridge,full,log_mass_st + pursuit + disruptfast + slowwalking + log_hr_st + inv_ess + log_roughness_st + mean_treecover + mean_hfi + seasonality_dhi_gpp_st,779.457375722632,845.928223135824,1.08245679656066,1.14998123241659,1.22171789129347,4.52628880457645,6.00285312911274e-06,0.412883227018791,0.103329348123453,4.68618819337763,0.509225864815895,3.49479312837476e-20,-0.0339175293275073,0.0537679854148003,0.528162982947071,-0.0791211741666401,0.0194445384503391,4.72013107157746e-05,-4.64043527920965,0.356921294631169,1.2030552374481e-38,-0.0298462723225332,0.0132568911209868,0.0243616096452657,-0.0668499578001236,0.0436619193994257,0.125749247161484,-0.0967617453068502,0.0783160343827314,0.216633625499659,NA,NA,NA,-0.0120375033902732,0.0177934657180757,0.498715262015364,NA,NA,NA,0.0140666553536033,0.0902710476812645,0.876169485411166,-0.23731338439938,0.144360540836762,0.100198160603306,-0.229482891991185,0.109274819142575,0.0357241950400901,NA,NA,NA
1032,speed_est,full,log_mass_st + pursuit + disruptfast + slowwalking + log_hr_st + inv_ess + log_roughness_st + mean_treecover + mean_hfi + seasonality_dhi_gpp_st,171.891655137955,235.962646774096,1.07442388123589,1.13247386693451,1.19366023195088,4.63376598045443,3.59072891316526e-06,0.111529406519147,0.0652950006587816,0.312092494311946,0.268584617325137,0.245239746499616,0.0258846300923428,0.0336947690022307,0.442362934138271,0.0275205024261427,0.0169775272048724,0.10501851251075,-0.647473282598896,0.310531253552071,0.0370647351664054,-0.0624960458269843,0.0110329202842038,1.47448494416573e-08,-0.0316293968542957,0.0361173087362009,0.381171019768894,-0.00599278399104351,0.0665119125920255,0.92820702440676,NA,NA,NA,0.05086895409856,0.0139270648575352,0.000259674194964876,NA,NA,NA,0.0113158151933282,0.0571955256699527,0.843166796487567,0.110462018226409,0.0888468448358833,0.213762544680139,0.0178799975182409,0.0709072736495336,0.800917183185865,NA,NA,NA
1032,log_ridge,speed inc,speed_est_st + log_mass_st + pursuit + disruptfast + slowwalking + log_hr_st + inv_ess + log_roughness_st + mean_treecover + mean_hfi + seasonality_dhi_gpp_st,658.146796493661,727.132607181558,1.05877193727228,1.13216285112054,1.21064100429379,3.63010257765639,0.000283308607796122,0.37877273276024,0.103556843617092,4.61831818270356,0.489720141881658,4.08040325203485e-21,-0.0382166539606118,0.0545846724371872,0.483842836003519,-0.0868115753908624,0.0217079503580542,6.35923373517299e-05,-4.61777869528125,0.394620431500479,1.24743501100009e-31,-0.0404599412819891,0.0145516804960294,0.0054286821036864,-0.0833580639346844,0.0473322155106058,0.0782168341871836,-0.128323697334974,0.0856157431704778,0.13391697293876,NA,NA,NA,-0.0159658452873483,0.0186320528844755,0.391498990828059,-0.00247830201681852,0.0120566507315915,0.837138714584325,0.0269905730299472,0.0926518465814796,0.77081288970063,-0.143929470764079,0.145233809935574,0.321676283634335,-0.146124625789068,0.114019204801788,0.199990348238798,NA,NA,NA
1201,log_ridge,dna only,log_mass_st + pursuit + disruptfast + slowwalking + log_hr_st + inv_ess + log_roughness_st + mean_treecover + mean_hfi + seasonality_dhi_gpp_st,761.039979761702,827.102191381075,1.08612431827408,1.15431303407948,1.22678275242294,4.61926049147818,3.8511012970293e-06,0.446683303467701,0.103794262191471,4.64874911410896,0.533392376586015,2.89632238934804e-18,-0.0201354110170853,0.0574430195096964,0.725942163391403,-0.0771999562123678,0.0197989784465167,9.65154727968504e-05,-4.56081384499743,0.359571455020738,7.25091962081701e-37,-0.029240679754547,0.0135008463553996,0.0303233776961193,-0.061138106622506,0.0440933078009819,0.165575351496811,-0.0901880271573282,0.0792403230368323,0.255054409774202,NA,NA,NA,-0.0123644261139918,0.0179505642568304,0.490946419960939,NA,NA,NA,0.0700187237120322,0.106107638942253,0.509328330076618,-0.215601428869953,0.158836364412493,0.174660250708344,-0.237481894100395,0.130127860958589,0.0680027133678168,NA,NA,NA
1001,speed_est,dna only,log_mass_st + pursuit + disruptfast + slowwalking + log_hr_st + inv_ess + log_roughness_st + mean_treecover + mean_hfi + seasonality_dhi_gpp_st,186.502075332022,250.172239592694,1.07139498758192,1.13005170552139,1.19191976064212,4.49574980071883,6.93252162789896e-06,0.13121434890952,0.0664933633057898,0.278629450429649,0.294275114812204,0.343723778156838,0.0342826685435337,0.0372303217926639,0.357140994278545,0.0245481957647879,0.0173918035660661,0.158102910747782,-0.613509454940842,0.315442052782808,0.051784646574017,-0.0641708121806012,0.011368569746368,1.65584062148494e-08,-0.0267922405255237,0.0369494607835088,0.468387587947321,-0.00617079638370698,0.0681363577514855,0.927837927001236,NA,NA,NA,0.051257056405512,0.0142458449391627,0.000320629812103353,NA,NA,NA,0.0210541225426539,0.0677935339227453,0.756133315691982,0.134416619400147,0.101447743801857,0.185176516911427,0.0473281351246168,0.0889888374805243,0.594834389208314,NA,NA,NA
1070,log_ridge,clean,log_mass_st + pursuit + disruptfast + slowwalking + log_hr_st + inv_ess + log_roughness_st + mean_treecover + mean_hfi + seasonality_dhi_gpp_st,686.633900700669,751.179945193487,1.09728297459715,1.17131634071745,1.2503447167176,4.74682766016359,2.06631868020338e-06,0.38480809980113,0.104172309623945,4.68716366136393,0.492927658722883,1.92825115116995e-21,-0.0438816391964636,0.0540996948384991,0.417293633292665,-0.075203639572,0.0215001233320963,0.00046907120922686,-4.35264941823654,0.373971352962157,2.61084294842152e-31,-0.0314798513643165,0.0142015656513731,0.0266472546186636,-0.0897832737950708,0.0466187158975026,0.0541160876591247,-0.116455459008877,0.0855805864229566,0.173586516698084,NA,NA,NA,-0.00449290319103628,0.0190355373061411,0.813411620062105,NA,NA,NA,0.0625687147955408,0.0922894178846839,0.497795811553442,-0.218160004184017,0.144435265819531,0.130932598598141,-0.259667574405808,0.108776443526477,0.0169787604933955,NA,NA,NA
897,speed_est,clean,log_mass_st + pursuit + disruptfast + slowwalking + log_hr_st + inv_ess + log_roughness_st + mean_treecover + mean_hfi + seasonality_dhi_gpp_st,25.827309007219,88.0546293650851,1.05850997131614,1.11532186593492,1.17518294427198,4.09168204089009,4.28255572927903e-05,0.0981515141913976,0.0564529345108405,0.328218073681849,0.253095997298369,0.194695680562813,0.026106704659397,0.0327736371240012,0.425697109705124,0.0214351291739229,0.0171763682502729,0.21205191813915,-0.407737717446049,0.302438923664787,0.177605163870713,-0.0588939027802369,0.0109191223139916,6.90413884710773e-08,-0.0587588925460021,0.0356170948812448,0.0989964329538276,-0.0573370577200839,0.0673545156146158,0.394617908102801,NA,NA,NA,0.0387052590728954,0.0138071714621372,0.00505869641969778,NA,NA,NA,0.0243842329566638,0.0577781840065015,0.673001781694606,0.112757393862635,0.0864766678852448,0.192265840327106,-0.00204690332278598,0.0687103003949897,0.976234261606343,NA,NA,NA
342,log_ridge,duration >1 yr,log_mass_st + pursuit + disruptfast + slowwalking + log_hr_st + inv_ess + log_roughness_st + mean_treecover + mean_hfi + seasonality_dhi_gpp_st,223.93615690582,273.363695785722,1.09599149155534,1.21933437380549,1.35655826400049,3.64450626326663,0.000267905611740727,0.57555753907838,0.0967997344873757,4.80394537382191,0.615672082240485,6.05646475404291e-15,-0.127782611584727,0.0792648322645992,0.106940797003665,-0.0876405568510125,0.0400816478216562,0.0287753364810803,-4.38729570800816,1.467523956823,0.00279351662313028,-0.051314101335381,0.0264464403090986,0.0523429051887918,-0.206452370837845,0.0777662650212485,0.00793600084611694,-0.256604970619638,0.170109711971195,0.131434920556683,NA,NA,NA,-0.0540569622461368,0.0317112170846543,0.0882571542119216,NA,NA,NA,0.0831861330713354,0.124416430494996,0.503743966339406,-0.206902824104153,0.218767045755162,0.344267040606114,-0.195991865232734,0.180372135913312,0.277214844923812,NA,NA,NA
283,speed_est,duration >1 yr,log_mass_st + pursuit + disruptfast + slowwalking + log_hr_st + inv_ess + log_roughness_st + mean_treecover + mean_hfi + seasonality_dhi_gpp_st,-28.1674560291891,18.7079708326589,1.10049130567869,1.195875524817,1.29952709619488,4.21785069603462,2.46642037324408e-05,0.0941339029214263,0.0452426000064176,0.374439641904713,0.265794415778883,0.158907147339028,-0.0457608024497082,0.0421806402343968,0.27797617786471,0.0296035987317782,0.0300251600655868,0.324152874059111,-1.58785448438564,1.10178952835516,0.149539617301744,-0.0772761334448401,0.0195734210868874,7.88023156143526e-05,0.004094610170447,0.0538244733102076,0.939360710175305,-0.235978510848612,0.120334602724277,0.0498767400825215,NA,NA,NA,0.0469368501694937,0.0212948444994411,0.0275143954488009,NA,NA,NA,-0.0409606086628973,0.0677804773341563,0.545635711424145,0.150059650123655,0.130110750357011,0.24877805643227,0.0803586803093057,0.114316356683241,0.48208692406133,NA,NA,NA
219,log_ridge,shared landscape,log_mass_st + pursuit + disruptfast + slowwalking + log_hr_st + inv_ess + log_roughness_st + mean_treecover + mean_hfi + seasonality_dhi_gpp_st,138.695060338184,182.083055374301,1.17615094504193,1.3275576965076,1.4984551472632,4.58601765900777,4.51780406479832e-06,0.733163518797781,0.0929227504964626,4.62656996051786,0.731358642979808,2.51608543536695e-10,-0.0588759414332494,0.131615195240018,0.654633978205485,-0.0443405986099368,0.0489146267287593,0.364676786637288,-5.70203141783702,1.38763593073087,3.97084338966878e-05,0.0311721007826778,0.0761024514868854,0.682094223200722,0.0415933716955261,0.142091160232317,0.76973377514731,0.306263420002251,0.350051669530067,0.381623322407642,NA,NA,NA,-0.0214069472993095,0.0773083918568848,0.781854373740604,NA,NA,NA,0.0196284647197446,0.233707035733265,0.933066387026586,-0.369171299808855,0.32562351684162,0.256905051017508,-0.161336191668633,0.311552002895845,0.604565198549609,NA,NA,NA
