id,sp,updatedstudy,mod_name,n_fixes,duration (weeks),year,resampled.,minsampling (min),ess,speed_low (m/s),speed_est (m/s),speed_high (m/s),area_mod_low (m^2),area_mod_est (m^2),area_mod_high (m^2),area_ud_low (m^2),area_ud_est (m^2),area_ud_high (m^2),tau_p_low (s),tau_p_est (s),tau_p_high (s),tau_v_low (s),tau_v_est (s),tau_v_high (s),sigma_p,bls (m),ridge_length_low (m),ridge_length_est (m),ridge_length_high (m),ridge_dens_low (1/m),ridge_dens_est (1/m),ridge_dens_high (1/m),kept (y/n),kept (reason),mean_roughness,mean_treecover,mean_hfi,mean_road_cover,mean_dhi_ndvi,mean_dhi_gpp,seasonality_dhi_gpp,phylo,clade,mass (g),hunting_movement,hunting_cooperativity,hunting_carcass,pursuit,disruptfast,slowwalking
C04,Canis latrans,Belant-Beyer,OUF anisotropic,9572,30,2009-05-20,n,10.4333333333333,508.11079738719695,0.30587094490127403,0.309017309268424,0.312179996166559,17929336.095427398,19596424.431986,21336560.5480904,14809664.223104998,16186682.2210544,17624037.8177614,25684.000867231298,28276.514119577598,31130.7126521237,583.172621021844,605.7852882436222,629.2747674082981,1041103.6536243202,149.34593688875802,42906.807737744806,46417.37544051209,50221.80431785941,124.31032348266301,133.107743351071,143.113039986754,y,none,6.270535714285714,93.54285714285714,0.21363051883552384,0.7577758104695629,14.315454259831856,14275.81896551724,0.9342176256508664,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C05,Canis latrans,Belant-Beyer,OUF anisotropic,9641,30,2009-05-21,n,10.4333333333333,561.2825246794471,0.344949901877114,0.348485919673002,0.352040217972922,19896135.0883006,21650442.861583,23477810.640194003,16672260.0768783,18142308.1702012,19673577.973401595,21987.7975112955,24116.602088184998,26451.512298176694,596.0502912675811,619.1857626347601,643.219228757119,1150227.95326822,171.847959942392,48097.7856651431,51179.040721741396,54190.0361702777,138.75725157972798,144.37491550826198,149.264156428799,y,none,6.6875,80,0.21122216780980427,0.7741332026603429,13.322051945854636,13464.186274509804,0.9650355869648504,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C06,Canis latrans,Belant-Beyer,OUF anisotropic,9521,29,2009-05-22,n,7.6499999999999995,2.4062953968818594,0.21963805725946703,0.22197410119210503,0.22432267329870895,828426857.406667,5237436766.77819,13627607034.416,1331477429.7608898,8417796673.80073,21902779980.8143,1493156.6837932002,9447241.838935649,59772949.0361358,910.00269465835,940.4595568340059,971.935779126979,278250482.50225794,166.43149280509505,186398.92869504998,453571.00611931004,1076657.1129581602,26.094742458309497,24.439489995330895,52.92435662955991,n,dropped,7.610050675675685,64.23277027027143,0.27191829217832797,0.7900105800624985,12.174506142285924,12418.710953346868,1.013270374038398,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C07,Canis latrans,Belant-Beyer,OUF anisotropic,9493,33.2857142857143,2009-05-23,n,6.533333333333331,448.9675320715139,0.2748299463446591,0.27769534634322496,0.28057581187349306,18431275.849819496,20262441.500726704,22179085.7388648,14805781.8112971,16276751.0110739,17816384.8720706,33394.782624205196,36957.12840093519,40899.48286272811,575.805813524235,597.922079462277,620.887814453171,1076487.2924125502,131.97073631019305,37361.811596558306,41130.619377784504,44816.203446837586,94.28107097401751,103.93522941090703,112.73286392330401,y,none,6.744419642857143,81.58928571428571,0.21042421001654404,0.7839720344170928,13.326703396710483,13596.78409090909,0.9675543755292892,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C08,Canis latrans,Belant-Beyer,OUF anisotropic,8595,13.2857142857143,2009-05-31,n,7.533333333333331,11.003337657527501,0.2618632630650591,0.26470254482782,0.267557348022261,200027464.75480202,400649336.83914,669780413.0750871,219008428.316114,438667668.335414,733337073.307933,331510.17372915795,664952.8262307621,1333781.87504291,703.869899021141,730.489450303588,758.1157224466151,21285387.538583603,152.915791451789,91624.7752698605,167184.414743923,261779.708982081,38.33231217537921,63.717092803604096,93.44763619494181,y,none,8.283596837944666,82.74110671936761,0.20290699783106184,0.8310823814188234,13.180729529567966,13113.638274336285,0.9802628486557344,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C09,Canis latrans,Belant-Beyer,OUF anisotropic,7743,30.857142857142897,2009-06-05,n,2.86666666666667,404.3212090781829,0.2722283891929491,0.275501391781289,0.27879422322224306,16883251.7352619,18657790.69815691,20519728.667669997,11417279.209575098,12617309.1046057,13876442.475486001,34195.8955669869,38059.362879967106,42359.3264282695,527.252324659594,550.4148614919939,574.594943600955,991236.6478806881,119.730003178138,32925.396333274606,35314.1088905021,37751.3661044631,94.95096894836782,98.8393227423602,102.70396358943502,y,none,8.456439393939394,77.63636363636365,0.22182422942585417,0.8628201857209206,13.056746150508072,13041.765151515152,0.982126278407646,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C10,Canis latrans,Belant-Beyer,OUF anisotropic,10947,32,2010-04-29,n,5.51666666666667,319.53001568076803,0.255299912552449,0.2577249082795431,0.26016152509323,17606314.723067995,19708242.962077394,21926983.483754396,14399042.7237201,16118071.094605401,17932632.521399498,32796.7084709183,36920.04887544031,41561.79301266139,651.3574154075209,674.143248018358,697.726176287413,1047044.2618523801,138.269846737097,26791.5700896387,29493.261830791904,32871.17340181739,49.849718598694196,53.96753050126309,60.25406696551339,y,none,6.580729166666666,81.95833333333333,0.21049617417156696,0.8146263214223313,13.383994592202676,13750.736111111111,0.962051366766294,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C11,Canis latrans,Belant-Beyer,OUF anisotropic,11481,31.857142857142897,2010-04-30,n,9.08333333333333,26.559357681873,0.234700659353473,0.23698319271823803,0.239276924255171,147694492.311351,224972833.66936597,318252994.24745005,178836650.315595,272409535.08694196,385358306.551748,433657.11602489394,661618.3050457931,1009412.1954787399,490.810260892379,508.37510818607296,526.568556560539,11952182.3949216,95.83231705500958,105465.18809678403,142927.12695098802,189933.40094934503,62.1958970974982,74.99063353984262,93.61338832679387,y,none,7.604741379310348,64.16896551724142,0.24871485916180744,0.8346203455586492,12.124818182792986,12264.193612774452,1.0067052387905693,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C12,Canis latrans,Belant-Beyer,OUf,10,0.428571428571429,2010-05-01,n,255.46666666666698,3.28243129990317,0.024050730435025203,0.0423148922649946,0.06062352090644751,3215949.63130045,14189229.7401111,33151780.504876997,4955737.769308619,21865423.841240596,51086475.101730004,12572.591677190201,26370.636118803897,55311.6228670667,0.027138343176312394,0.0477472428897109,0.0684063180268147,753834.403608469,1.1682931312316003,11722.267768292602,39129.6001884851,122522.34141728801,27.7277709249579,70.02496827995701,293.849284306292,n,dropped,5.822916666666667,97.33333333333331,0.22465353459119797,0.8590276539325714,14.593587636947632,14146.333333333334,0.9094135959943136,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C15,Canis latrans,Belant-Beyer,OUF anisotropic,12501,30.285714285714292,2010-05-11,n,2.4833333333333303,13.149198137874098,0.20415888338627503,0.20597193751299206,0.20779311733124103,240711878.81423202,450204052.807938,724189340.14281,359344101.061409,672082206.52593,1081098152.3379898,679084.959583163,1271752.9478672,2381668.94669805,679.033025911237,700.0987787309562,721.8180578519409,23918092.0928503,114.74705560423303,107606.675552122,200767.26814615502,300106.810309007,32.223143747672005,59.97405610129799,83.30797476535581,y,none,9.800170454545452,72.53818181818184,0.2660886199624689,0.8252819814716861,12.145872009496188,12212.420382165605,1.0043025792350109,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C16,Canis latrans,Belant-Beyer,OUF anisotropic,11819,30.142857142857103,2010-05-18,y,1,8.87604624137182,0.24183904775837803,0.24407544382520405,0.246322275072158,318004611.98118794,700002317.0665029,1230133315.12526,384699647.146683,846813644.304234,1488128896.38237,772544.3464411071,1702869.6140456202,3753525.52354862,562.0155159949148,580.8514564271929,600.3186830817739,37189180.72900561,112.628979428316,82984.38293577809,166497.975666783,312022.98080206604,17.900738569188597,32.73633589585531,65.423325079759,n,dropped,6.07995211693548,55.02318548387087,0.25604896893193785,0.789935202716254,12.276912505244033,12289.92463768116,0.9986242029114046,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C17,Canis latrans,Belant-Beyer,OUF anisotropic,11721,50.1428571428571,2010-06-03,n,8.4,20.928829248234795,0.19755330540444202,0.19936528681842905,0.201185654489234,257024267.772339,415593967.587714,611648370.1762152,301480800.556922,487477712.283386,717442916.570806,736115.0460829681,1192603.70746665,1932175.6981216401,712.254996998464,734.530812609899,757.503305623734,22079354.301673897,116.613845225389,101350.895867802,151236.109046195,185006.95608954498,34.07183500319329,46.919808030395195,47.7077311810643,y,none,6.974021739130446,78.41043478260868,0.16904757447314983,0.8196841596574004,13.416179175304276,13216.295138888889,0.976582810420681,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C20,Canis latrans,Belant-Beyer,OUF anisotropic,10112,21.285714285714292,2010-06-05,n,4.5,212.63451434219198,0.34499768698832095,0.34846271130194806,0.35194528879538395,48152726.88928209,55341703.6051513,63023538.25164771,29571265.465912994,33986116.97332679,38703639.45381079,42251.696534631694,48754.1225576731,56257.2550056145,759.137519068809,786.4510079857698,814.7472261949576,2940151.1495675603,217.778495451985,53311.1087532207,60391.126662629096,66417.2000758613,96.10932341647009,107.311117137743,113.97492660041502,y,none,8.309151785714286,86.41071428571429,0.20324227487554353,0.7746698806699062,13.615659885578328,13308.959090909091,0.9560723619027572,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C21,Canis latrans,Belant-Beyer,Has one GPS fix,1,0,NA,n,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n,dropped,NA,NA,NA,NA,NA,NA,NA,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C22,Canis latrans,Belant-Beyer,IID,3,2.2857142857142905,2011-03-08,n,10082.466666666698,2,NA,NA,NA,11185106.339823,92359024.45242381,257295774.091956,18694646.513902202,154367715.60763103,430040931.21979797,NA,NA,NA,NA,NA,NA,NA,NA,13827.960817597099,92262.6134576077,493211.83101285103,10.228195554850698,55.1435888554867,565.6622255957258,n,dropped,7.2109375,99.33333333333331,0.08970359563827515,0.8990417142709096,14.2334216988605,13986.791666666666,0.9504682968060176,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C23,Canis latrans,Belant-Beyer,OUF anisotropic,11128,25.142857142857103,2011-03-10,n,8.766666666666671,314.11044912529803,0.24597634384067804,0.24840253164935203,0.25084079073588506,11577115.574660901,12972171.284810102,14445440.3407172,9107163.86637916,10204587.5616962,11363537.960427498,29454.793184237406,33151.6233642521,37312.4375652846,515.7862949825329,534.933912090151,554.7923492495352,689175.464990051,105.453881457948,34446.2800012185,38660.35493027652,42926.2077764539,130.28712597373,146.465796319408,162.155423819957,y,none,10.182397959183673,82.89795918367346,0.2326393450299899,0.9001030888822343,12.436165381451042,12839.520408163266,0.9882185945705492,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C24,Canis latrans,Belant-Beyer,IID anisotropic,16,4.14285714285714,2011-03-14,n,1235.0333333333297,15,NA,NA,NA,6225867.242629071,11123730.006266598,17419480.2205864,8447739.648167336,15093539.798925197,23636102.084273297,NA,NA,NA,NA,NA,NA,NA,NA,14542.043553532603,25065.0061618478,38433.8096279673,25.0328537005418,41.624068459951495,62.49582597215491,n,dropped,6.666666666666667,94.27777777777776,0.1249681532382965,0.8499243050813675,14.185563882191977,13447.305555555557,0.9596037434207068,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C25,Canis latrans,Belant-Beyer,OUF anisotropic,10227,22,2011-03-18,n,4.033333333333331,580.5758983389061,0.369316558484505,0.3729663821358611,0.376634400225975,17840830.6944192,19385869.2024649,20994152.181278195,16079477.578569498,17471980.678546805,18921484.3782771,13774.376091099199,15091.113398679201,16533.721898225103,745.7481384402261,773.9347325925601,803.1866785023522,1029917.4385316201,229.82259983871504,39717.180357280704,42105.6566017086,43868.29778333789,98.10358625302428,101.470254030093,101.705950333207,y,none,6.76953125,97.91666666666669,0.15860164846692765,0.9429154447146824,14.43334568871392,13924.036585365851,0.9341739706876802,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C26,Canis latrans,Belant-Beyer,OUF anisotropic,11205,17.142857142857103,2011-05-09,n,8.366666666666672,61.03409397381599,0.28206175194535105,0.28470756321723106,0.28736589650292105,75412997.8157091,98581413.2950565,124805859.55829,78428733.02916841,102523644.05205399,129796795.29109001,119814.76314311898,156976.808165301,205665.125526568,629.792160877003,651.2393396275992,673.4168886573681,5237356.9432090195,147.40379106593198,92459.692747843,120711.315594404,147871.940600923,109.00080178327201,142.12547600369703,168.464181014983,y,none,6.110697115384624,71.9923076923076,0.16749030330942744,0.840070247310506,13.555285825894748,13286.65835777126,0.9721084247586316,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C27,Canis latrans,Belant-Beyer,OUF anisotropic,12293,19.714285714285705,2011-05-16,n,6.8,442.349823807292,0.31040567572675404,0.3131885717355491,0.315984058544286,17990677.3860297,19792373.0998293,21678813.3025937,14788401.701522198,16269402.076764798,17820062.7275997,22668.8031171159,25071.4309781227,27728.709276943293,654.8224830538329,676.814376703654,699.544857373349,1051513.86262559,168.48169679993998,39192.766878250404,42093.93822132811,45376.766926333294,103.870114335262,108.90994190324501,115.54678612313299,y,none,8.233072916666668,92.875,0.13579901797430854,0.7589848669511932,13.25105837980906,13083.479166666666,0.9852212580541768,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C29,Canis latrans,Belant-Beyer,OUF anisotropic,13935,23.857142857142897,2011-05-20,n,5.333333333333331,1.6959747920100297,0.217012540953598,0.21914581936038702,0.221289676047879,253868366.48706102,2775446735.5944605,8237834403.60703,415140071.263143,4538569226.03418,13470977927.2231,1050105.44173524,11485384.679177199,125619824.434676,410.769171972961,425.3125132426159,440.370763589479,147451783.71165997,73.89351447665949,55488.7741890779,476860.66052211,1541533.20378523,7.4167835729228,50.103034288689905,176.403274595983,n,dropped,8.851121007370987,65.90294840294833,0.2905005456376223,0.8341608116913152,11.983919625703985,12004.84360950546,1.0059888360587617,Canis_latrans,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
W01,Canis lupus,Belant-Beyer,OUF anisotropic,6876,30.142857142857103,2009-05-02,n,9.61666666666667,127.70747439640799,0.44335448412972606,0.448958892593723,0.45459898849781805,265314023.719676,318086064.36037,375573663.8674111,191643768.771653,229762495.45019,271287402.700495,111138.71252227399,134009.05750189399,161585.707490959,964.650645584832,1002.82933924495,1042.5190593645102,16899029.969570898,355.612753102657,98800.5416213937,107653.68758296501,122578.032419801,50.93589573638491,50.440418604884805,55.3854468815792,y,none,8.006134259259253,77.9481481481482,0.18701382518791776,0.832828588059379,12.893300000986532,12829.941629955949,0.9907908270275014,Canis_lupus,canidae,32183.329999999998,Pursuit,Evidence for Cooperativity,Routine Cacheing,1,0,0
W02,Canis lupus,Belant-Beyer,OUF anisotropic,7037,29.571428571428598,2009-05-04,n,11.8333333333333,205.57889356956397,0.393455510092919,0.39826656268528005,0.403107255356778,114335556.192796,131728004.36999601,150333834.451487,85275838.27559888,98247792.47219841,112124733.38056399,67673.09042093433,78544.5655826029,91162.5100048835,855.4409032822189,889.6203100061862,925.16536553128,6998343.35137152,281.5411606143551,80498.552582921,88370.09352938639,101291.21503456299,75.98889789863848,79.4854849548128,91.5044338019059,y,none,9.147321428571429,77.96428571428567,0.23131860958205305,0.7886793195948179,12.885771830240888,12944.223749999996,0.9837092256546022,Canis_lupus,canidae,32183.329999999998,Pursuit,Evidence for Cooperativity,Routine Cacheing,1,0,0
W05,Canis lupus,Belant-Beyer,OUF anisotropic,12576,31.571428571428598,2010-05-02,n,2,11.7873005532042,0.31607217832029505,0.3189181972576051,0.321777148323658,731991226.3271558,1426471893.37444,2348755812.69138,1041798984.12487,2030211450.5617998,3342842552.7680197,757526.7860845181,1478180.45306523,2884409.4914689,773.2233479185672,796.693214012715,820.8754675638111,75784493.49976772,202.10264980897503,210881.35050070897,359097.51824177906,562222.7197780978,42.68668396366258,63.51605768538119,94.5585625541774,y,none,6.1445343137254635,50.04039215686249,0.29724316689555447,0.8213245129684219,12.233496307800907,12307.305991855732,0.9980335331642748,Canis_lupus,canidae,32183.329999999998,Pursuit,Evidence for Cooperativity,Routine Cacheing,1,0,0
W06,Canis lupus,Belant-Beyer,OUF anisotropic,12026,19,2010-05-04,n,6.133333333333331,122.04241223405099,0.27679335868900795,0.27935205844801697,0.2819226929383031,53926701.0790229,64935343.41476479,76951297.2250557,44092533.69005761,53093620.78342909,62918324.27163331,70243.85808399401,84884.11597521049,102575.70329176998,796.2573485772872,821.4320081515909,847.4025956828739,3449834.6120792995,182.71396130891196,74507.29112964391,89433.5695184015,109719.03545933601,125.90196042032602,150.64640984702103,191.33164910996302,y,none,9.322646103896105,77.8311688311689,0.2372755306186501,0.8189959367564706,12.89673871120424,12877.508143322477,0.9881263235492892,Canis_lupus,canidae,32183.329999999998,Pursuit,Evidence for Cooperativity,Routine Cacheing,1,0,0
W07,Canis lupus,Belant-Beyer,OUF anisotropic,10231,20.571428571428598,2010-05-13,y,1,180.978214645395,0.412446447512029,0.41663717995018,0.42084938806197203,71286033.42066711,82928320.00977552,95438274.9612282,55523636.807900295,64591641.593249105,74335460.4295245,40062.633807071696,46896.2576355382,54895.5166255338,829.3531832707271,858.8297081947449,889.353875473217,4405751.531395801,284.049766354629,78453.69984798701,94389.73100445501,107429.45815988102,110.853383778388,137.93458564187594,155.256837232716,y,2,9.739912280701754,74.63859649122804,0.2631600679495397,0.8042391558679252,12.541634586658557,12733.25438596491,0.9982954159117584,Canis_lupus,canidae,32183.329999999998,Pursuit,Evidence for Cooperativity,Routine Cacheing,1,0,0
W08,Canis lupus,Belant-Beyer,OUF anisotropic,10552,16,2011-05-05,n,11.450000000000001,42.55354881048871,0.32037281024109204,0.32350094984660704,0.326644497071116,110421016.641224,152857035.40670902,202086015.405504,112865162.80985299,156240493.99821302,206559147.19971502,147600.61566361002,204775.899383162,284098.875737421,583.316872524084,603.9356131440588,625.2831728412441,8120870.14120561,154.75945153517097,94909.0717171121,118580.608818759,148582.87275877703,79.80967439332429,89.9981843886661,106.879169364044,y,none,9.163359788359791,63.325396825396936,0.3173969289770839,0.8512094502233798,12.245506163393513,12203.248677248674,1.0061042849664337,Canis_lupus,canidae,32183.329999999998,Pursuit,Evidence for Cooperativity,Routine Cacheing,1,0,0
W09,Canis lupus,Belant-Beyer,OUF anisotropic,12989,19.714285714285705,2011-05-05,n,6.3,2.39069133191736,0.5200984794201702,0.5249261153345891,0.5297763614789599,2438339734.92743,15549383640.139801,40554083548.370804,3946776734.58051,25168742775.623596,65642170837.8993,784476.0743907779,5006761.113436478,31954648.03243,915.556362806807,942.627124263656,970.498301899808,826095606.1419221,394.37255775299997,270862.36297168996,1007800.27653024,2515272.3087470494,18.588946020633095,40.3540775329517,96.3800359798125,n,dropped,7.2051917364301366,65.61323251417524,0.21736791558733684,0.7501101990089426,12.032165075425722,13103.18144876326,1.039818044066847,Canis_lupus,canidae,32183.329999999998,Pursuit,Evidence for Cooperativity,Routine Cacheing,1,0,0
