id,sp,study,updatedstudy,mod_name,n_fixes,duration,year,resampled.,minsampling,ess,speed_low,speed_est,speed_high,mean_dist_day_low,mean_dist_day_est,mean_dist_day_high,area_mod_low,area_mod_est,area_mod_high,area_ud_low,area_ud_est,area_ud_high,tau_p_low,tau_p_est,tau_p_high,tau_v_low,tau_v_est,tau_v_high,sigma_p,b_l_s,ridge_length_low,ridge_length_est,ridge_length_high,ridge_dens_low,ridge_dens_est,ridge_dens_high,avg_ridge_width,bandwidth_1,bandwidth_2,ridge_use_prob,ridge_prob_frac5,ridge_prob_frac10,ridge_prob_frac25,ridge_prob_reduced10,ridge_prob_reduced100,ridge_prob_fixed10,ridge_prob_fixed50,ridge_prob_fixed100,ridge_prob_fixed200,tag,kept (y/n),tag2,mean_roughness,mean_treecover,mean_hfi,mean_road_cover,mean_dhi_gpp,seasonality_dhi_gpp,phylo,genus,clade,mass,hunting_movement,hunting_cooperativity,hunting_carcass,pursuit,disruptfast,slowwalking
44904,Lycaon pictus,Abrahms,Abrahms,OUF anisotropic,1968,42.7142857142857,2021-11-01,n,162.46666666666698,63.9647696482881,1.5046069380704699e-6,0.981766607538288,10.6567688509125,0.104169091732445,67971.06487602618,737804.6079102759,359183180.9967579,466433621.270168,587481800.7301071,336510078.983765,436990435.62879,550397562.09241,293317.07376914,385900.79892533994,507708.005870893,1.0619540795317401e-14,106.93010192176301,1076698787393936600,24780324.031202998,82.8639519866766,131040.51798000699,158971.04431183301,192002.193150023,51.02853799899741,57.83145549451459,66.97857097017689,6972.30541744543,2618.3073074909103,2058.78194266583,0.9985461483066488,0.16171860048444603,0.26227234676818495,0.49868697746485413,0.35419765135841497,0.0429124403536979,0.004278376608281819,0.0300385201569481,0.0751544152945539,0.153358098338592,a,y,none,3.277286756453423,45.1470258136925,0.2939044883573688,0.23988987573879095,6883.175865800868,0.59769109204347,Lycaon_pictus,Lycaon,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44907,Lycaon pictus,Abrahms,Abrahms,OU anisotropic,129,2.2857142857142905,2022-08-11,n,179,104.36408934352599,NA,NA,NA,NA,NA,NA,25266923.6852899,30912262.427417994,37118299.782853,28662403.4152526,35066387.4719598,42106419.27429451,6484.27973411877,9264.839523882889,13237.746507394902,NA,NA,NA,NA,NA,48951.3722947114,59836.0212471048,68799.18192888334,83.60209068372419,102.10203265297699,112.413439937725,1225.47731615166,909.8660801079238,424.899391744411,0.9943616529967569,0.16093717881011202,0.28201429463062905,0.517240590317189,0.3495778521733329,0.04311224113161131,0.033806498281188604,0.18625474288793603,0.308005715782799,0.49737835890962806,x,n,dropped,2.6913461538461534,47.438461538461546,0.24209485101428896,0.31890404133380146,7348.686507936507,0.5966878831386566,Lycaon_pictus,Lycaon,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44910,Lycaon pictus,Abrahms,Abrahms,OUF anisotropic,1230,24.714285714285705,2021-10-26,n,162.18333333333302,29.198310805569093,0.25146778196944514,0.315135271212149,0.38607784728825506,17633.980215859403,22098.612770003896,27073.4050602551,487832551.35339904,727324519.2576759,1013885669.21052,449635217.056265,670374941.523447,934498326.6921381,311741.34622062,470937.94038096204,711431.2758927589,762.342333667206,1337.5278241208,2346.6894088008,38640733.5173736,331.27773914418793,127749.29017657899,191423.741401022,278833.2883830041,36.2958249744428,54.660528761252394,83.1975836550563,10541.529040049702,4025.3301412967503,3028.3946915256997,0.9997141138343479,0.141003533639981,0.23689179483320202,0.46241942496450505,0.38036880093203407,0.0522914604590214,0.00501186852448498,0.021342758040202896,0.048740428070316706,0.11389417857662103,a,y,none,2.8680028462998064,45.48387096774192,0.2670044819977914,0.27931156146895314,7329.680265654653,0.5878065470500053,Lycaon_pictus,Lycaon,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44914,Lycaon pictus,Abrahms,Abrahms,OU anisotropic,137,2.4285714285714306,2022-07-05,n,162.133333333333,49.93278129523139,NA,NA,NA,NA,NA,NA,36873045.251922496,49690168.4542792,64389659.583360896,47085352.2949251,63452288.013611294,82222929.64736271,17524.531854830697,25487.0896806322,37067.56595666339,NA,NA,NA,NA,NA,68229.33452618001,97427.6937773782,121568.06297401998,98.86815884325719,149.595165311334,179.740541946614,1722.7172091808502,1123.6398388313196,650.1981412074651,0.998495411410633,0.19992988650807603,0.366772207316233,0.6825812985150129,0.455958806711517,0.05171571973996042,0.027294216387307203,0.16907208146007502,0.309163454005802,0.496171046914889,x,n,dropped,4.142045454545455,55.71717171717172,0.2309599913152537,0.5488401933405129,6970.997474747474,0.5730499832919149,Lycaon_pictus,Lycaon,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44915,Lycaon pictus,Abrahms,Abrahms,OU anisotropic,2533,50.42857142857141,2021-09-06,n,163.55,114.12356217387199,NA,NA,NA,NA,NA,NA,297931313.2065,361143365.190382,430346148.900912,247295557.78816596,299764227.44912905,357205457.15407103,207510.12394700001,252788.897318475,307947.51307561004,NA,NA,NA,NA,NA,117182.444032897,138650.177117326,174074.41146634697,55.52758534096111,64.129972339438865,84.83045295213759,4949.188964100021,1955.3155409686,1517.88811478948,0.997472207295024,0.203939710643942,0.3293562778849381,0.6172796325063041,0.39723343926093796,0.050861658761732306,0.008204050090386493,0.0514067714391878,0.12016562529471501,0.21077196276299903,z,n,dropped,3.2755809595202394,43.35082458770611,0.27856207954256146,0.30835543843942065,6865.243628185907,0.6001478766483525,Lycaon_pictus,Lycaon,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44937,Lycaon pictus,Abrahms,Abrahms,OU anisotropic,104,1.7142857142857102,2022-08-01,n,162.35000000000002,19.705165404887502,NA,NA,NA,NA,NA,NA,45254381.7933921,74394190.2976199,110659122.51909502,51594004.7558613,84815968.2204367,126161204.004411,23592.160887507802,42195.6454374253,75468.81789974909,NA,NA,NA,NA,NA,61875.999381041795,92043.76004503609,128118.372775667,74.207057923096,99.88748511611998,130.105903571679,2950.09655956061,1408.5404413136398,1084.4351181014802,0.9906286276151641,0.192604086295761,0.3173827422594061,0.6057237455862279,0.457538959524715,0.05261125419005261,0.016932603750538497,0.09958575503528332,0.215194591133959,0.35306599915187203,x,n,dropped,3.2158333333333338,43.50666666666667,0.3518743437404434,0,6815.377777777778,0.5930966160915516,Lycaon_pictus,Lycaon,canidae,22050.07,Pursuit,Evidence for Cooperativity,Limited Cacheing,1,0,0
44916,Panthera leo,Abrahms,Abrahms,OUF anisotropic,6881,5.714285714285709,2022-08-01,n,2.53333333333333,10.617469466790899,0.36956154261751795,0.375052265688304,0.3805840383148061,31206.7050693278,31670.355519192697,32137.4722966668,126040123.40130801,256203820.44231302,431757777.51059204,177899794.803399,361619822.75606996,609406099.8285929,145287.42833477398,296305.21542567306,604297.162491937,495.60464818568903,515.5894422726492,536.3801044969629,13611398.0619662,153.89826631290308,98431.2614080966,149804.694213316,266975.46033911704,54.461632364985505,62.0581201475862,116.959604512214,8725.127362111212,2878.0898907136793,2561.81982934979,0.9997156762050131,0.185163090238795,0.33255335694722193,0.594977946884134,0.5968559912469029,0.07972958399708431,0.00826306871801918,0.043558473022375005,0.09489677845808543,0.210610913906489,a,y,none,3.3533834586466154,42.56140350877192,0.2586847772785262,0.4079029762971344,6863.268170426065,0.6016935795769656,Panthera_leo,Panthera,felidae,161499.06,Slow walking,Evidence for Cooperativity,Stay with / Revisit Carcasses,0,0,1
44920,Panthera leo,Abrahms,Abrahms,OUF anisotropic,15394,14,2021-10-14,n,1.63333333333333,11.056000858548604,0.36647619418179,0.36939841524300504,0.37233240099867704,31019.3150457324,31266.657975969698,31514.99669466341,139126274.888969,278124531.493023,464455858.227964,183663236.38973704,367157473.41150296,613136994.7941041,343739.286715555,687854.091343748,1376459.6287472402,241.31394992261602,247.96792012841502,254.80536633928503,14775984.6141787,72.98402361366732,75149.87088243802,141625.02929217197,256083.37395938902,30.749229974707593,54.629553732461815,106.95602283865799,8547.496964634058,2924.43909530468,2683.2715396798603,0.999718368229382,0.14314346861162802,0.27160706303989607,0.522817901071485,0.497961272493675,0.06206077436078529,0.005217661395697009,0.0349658556416374,0.0738025770599475,0.15436526403562903,a,y,none,3.2381198347107434,45.64256198347108,0.2488630061958268,0.3035667972892454,6903.3841991342,0.5926501171671467,Panthera_leo,Panthera,felidae,161499.06,Slow walking,Evidence for Cooperativity,Stay with / Revisit Carcasses,0,0,1
C01,Canis latrans,Mike,Belant-Beyer,OUF anisotropic,7192,30.142857142857103,2009-05-04,n,3.88333333333333,50.4845327499943,0.28136762860698,0.2848017660842971,0.288257021951097,17839.044763954604,18056.773194501904,18275.840556244697,126627621.10148,170343939.98254302,220442821.595773,208767992.83697703,280842063.78321,363438916.403458,236439.004020829,319268.021851914,431113.59819572995,531.1719494721441,553.916754674236,577.635493391069,9049900.85839933,125.304437401407,94963.32832980681,140515.93480308598,204111.70141442597,43.19643832815251,70.3054509271323,114.63160595615099,5772.5873454773,2016.93342198596,1726.74369602996,0.9935806859267418,0.13157780150262602,0.21284575816814402,0.44368628282516903,0.382142857130903,0.04810182050661751,0.0060536005399031,0.0400085425407938,0.09481034901044388,0.17329010608188403,a,y,none,8.816133004926114,70.19605911330058,0.2633774759714228,0.8369893151695458,12501.555198285108,0.9940199250193652,Canis_latrans,Canis,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
C02,Canis latrans,Mike,Belant-Beyer,OUF anisotropic,7184,30,2009-05-05,n,7.183333333333331,260.11379239646305,0.21036299852846005,0.21289351428550599,0.21543936864193805,13113.417272111403,13271.162261809703,13429.8634151659,18113074.8604267,20532733.5317513,23101882.591429997,14755767.7779109,16726936.2145787,18819886.5945433,55534.050717671,63354.430182670396,72276.08596708512,577.8507109905179,602.6782661154659,628.572545710522,1090847.15801058,101.86763481656199,28026.110942421397,31243.3827276364,34415.78915276369,53.2309064752791,58.357905580747186,62.935902246664504,1433.33420838229,459.36627829858094,390.371825220154,0.9973668721541841,0.17004312652542306,0.2740699606544581,0.5399973223337882,0.3702507832296071,0.0502112367525055,0.034681185884344407,0.17538018354033105,0.284094676580393,0.4713708915683881,a,y,none,7.612268518518518,91.89814814814817,0.15898792956556596,0.9109001581157956,13282.763888888889,0.9752412537733712,Canis_latrans,Canis,canidae,13406.33,Mixed Strategies,Evidence for Cooperativity,Routine Cacheing,0,1,1
